trial,key,time,id,type,shadow,setsize,stimulus
125,left,638.560593128204,1,flat,TRUE,3,present
126,right,777.26423740387,1,flat,TRUE,3,present
127,right,642.72141456604,1,flat,TRUE,3,present
128,right,622.06894159317,1,flat,TRUE,3,present
129,right,605.764389038086,1,flat,TRUE,3,present
130,right,423.028081655502,1,flat,TRUE,3,present
131,right,704.084634780884,1,flat,TRUE,3,present
132,right,625.036776065826,1,flat,TRUE,3,present
133,right,1105.18145561218,1,flat,TRUE,3,present
134,right,1073.0687379837,1,flat,TRUE,3,present
135,right,704.490721225739,1,flat,TRUE,3,present
136,right,791.122674942017,1,flat,TRUE,3,present
137,right,685.066759586334,1,flat,TRUE,3,present
138,right,481.504887342453,1,flat,TRUE,3,present
139,right,871.379911899567,1,flat,TRUE,3,present
140,right,774.864614009857,1,flat,TRUE,3,present
141,right,758.576154708862,1,flat,TRUE,3,present
142,right,413.378357887268,1,flat,TRUE,3,present
143,right,657.74405002594,1,flat,TRUE,3,present
144,left,675.050675868988,1,flat,TRUE,3,present
145,right,870.250582695007,1,flat,TRUE,3,present
146,right,651.908934116364,1,flat,TRUE,3,present
147,right,1116.72270298004,1,flat,TRUE,3,present
148,right,783.240973949432,1,flat,TRUE,3,present
149,right,571.621239185333,1,flat,TRUE,3,present
150,right,512.561142444611,1,flat,TRUE,3,present
151,left,1029.78563308716,1,flat,TRUE,3,absent
152,left,658.334910869598,1,flat,TRUE,3,absent
153,left,841.881990432739,1,flat,TRUE,3,absent
154,left,839.917600154877,1,flat,TRUE,3,absent
155,left,1073.36807250977,1,flat,TRUE,3,absent
156,left,886.325895786285,1,flat,TRUE,3,absent
157,left,568.558275699615,1,flat,TRUE,3,absent
158,right,580.343782901764,1,flat,TRUE,3,absent
159,left,860.03702878952,1,flat,TRUE,3,absent
160,left,760.061264038086,1,flat,TRUE,3,absent
161,right,1622.45786190033,1,flat,TRUE,6,present
162,right,967.525720596313,1,flat,TRUE,6,present
163,right,1060.7385635376,1,flat,TRUE,6,present
164,right,1595.90113162994,1,flat,TRUE,6,present
165,right,531.613171100616,1,flat,TRUE,6,present
166,right,483.5404753685,1,flat,TRUE,6,present
167,right,637.080252170563,1,flat,TRUE,6,present
168,right,768.735289573669,1,flat,TRUE,6,present
169,right,657.863140106201,1,flat,TRUE,6,present
170,left,1807.28554725647,1,flat,TRUE,6,present
171,right,1291.58556461334,1,flat,TRUE,6,present
172,right,1011.62469387054,1,flat,TRUE,6,present
173,right,659.53266620636,1,flat,TRUE,6,present
174,right,703.15819978714,1,flat,TRUE,6,present
175,right,1358.25979709625,1,flat,TRUE,6,present
176,right,886.543810367584,1,flat,TRUE,6,present
177,right,1034.93511676788,1,flat,TRUE,6,present
178,right,1922.02258110046,1,flat,TRUE,6,present
179,right,514.890611171722,1,flat,TRUE,6,present
180,right,1150.87676048279,1,flat,TRUE,6,present
181,right,1389.08982276917,1,flat,TRUE,6,present
182,right,502.363681793213,1,flat,TRUE,6,present
183,right,1416.4125919342,1,flat,TRUE,6,present
184,right,1089.75887298584,1,flat,TRUE,6,present
185,right,1467.41724014282,1,flat,TRUE,6,present
186,right,532.976508140564,1,flat,TRUE,6,present
187,right,1156.27193450928,1,flat,TRUE,6,present
188,right,572.765588760376,1,flat,TRUE,6,present
189,right,477.401882410049,1,flat,TRUE,6,present
190,right,505.859076976776,1,flat,TRUE,6,present
191,left,1794.32415962219,1,flat,TRUE,6,absent
192,right,346.283316612244,1,flat,TRUE,6,absent
193,left,1460.55579185486,1,flat,TRUE,6,absent
194,left,1588.94395828247,1,flat,TRUE,6,absent
195,right,902.65303850174,1,flat,TRUE,6,absent
196,right,408.340364694595,1,flat,TRUE,6,absent
197,left,916.898369789124,1,flat,TRUE,6,absent
198,left,1280.40516376495,1,flat,TRUE,6,absent
199,left,1677.11126804352,1,flat,TRUE,6,absent
200,right,554.423093795776,1,flat,TRUE,6,absent
201,right,486.81452870369,1,flat,TRUE,9,present
202,right,606.439054012299,1,flat,TRUE,9,present
203,right,1309.64756011963,1,flat,TRUE,9,present
204,right,2184.41104888916,1,flat,TRUE,9,present
205,right,831.543982028961,1,flat,TRUE,9,present
206,right,2200.05011558533,1,flat,TRUE,9,present
207,right,1109.91597175598,1,flat,TRUE,9,present
208,right,1796.4038848877,1,flat,TRUE,9,present
209,right,964.067220687866,1,flat,TRUE,9,present
210,right,486.648261547089,1,flat,TRUE,9,present
211,right,688.108563423157,1,flat,TRUE,9,present
212,right,877.499639987946,1,flat,TRUE,9,present
213,right,636.268079280853,1,flat,TRUE,9,present
214,right,937.121212482452,1,flat,TRUE,9,present
215,right,667.628824710846,1,flat,TRUE,9,present
216,right,1560.92023849487,1,flat,TRUE,9,present
217,right,573.952078819275,1,flat,TRUE,9,present
218,right,471.133291721344,1,flat,TRUE,9,present
219,right,888.303697109222,1,flat,TRUE,9,present
220,right,550.167500972748,1,flat,TRUE,9,present
221,right,1098.25146198273,1,flat,TRUE,9,present
222,right,809.920191764832,1,flat,TRUE,9,present
223,right,670.632898807526,1,flat,TRUE,9,present
224,right,538.990557193756,1,flat,TRUE,9,present
225,right,821.445405483246,1,flat,TRUE,9,present
226,right,2072.6375579834,1,flat,TRUE,9,present
227,right,750.400304794312,1,flat,TRUE,9,present
228,right,842.748939990997,1,flat,TRUE,9,present
229,right,1343.78039836883,1,flat,TRUE,9,present
230,left,1685.1304769516,1,flat,TRUE,9,present
231,right,612.612843513489,1,flat,TRUE,9,absent
232,right,687.410950660706,1,flat,TRUE,9,absent
233,right,1123.57795238495,1,flat,TRUE,9,absent
234,left,1620.18287181854,1,flat,TRUE,9,absent
235,left,2187.20769882202,1,flat,TRUE,9,absent
236,right,484.461456537247,1,flat,TRUE,9,absent
237,left,2075.29425621033,1,flat,TRUE,9,absent
238,left,1635.72072982788,1,flat,TRUE,9,absent
239,right,1057.51752853394,1,flat,TRUE,9,absent
240,right,827.826499938965,1,flat,TRUE,9,absent
241,right,979.735791683197,1,gradient,FALSE,3,present
242,right,486.745059490204,1,gradient,FALSE,3,present
243,right,824.650347232819,1,gradient,FALSE,3,present
244,right,730.814158916473,1,gradient,FALSE,3,present
245,right,753.113925457001,1,gradient,FALSE,3,present
246,right,702.887952327728,1,gradient,FALSE,3,present
247,right,656.158328056335,1,gradient,FALSE,3,present
248,right,933.81941318512,1,gradient,FALSE,3,present
249,right,920.620977878571,1,gradient,FALSE,3,present
250,right,373.074054718018,1,gradient,FALSE,3,present
251,right,749.845027923584,1,gradient,FALSE,3,present
252,right,550.21333694458,1,gradient,FALSE,3,present
253,left,951.487302780151,1,gradient,FALSE,3,present
254,right,591.495752334595,1,gradient,FALSE,3,present
255,right,527.324795722961,1,gradient,FALSE,3,present
256,right,1057.63006210327,1,gradient,FALSE,3,present
257,right,596.276462078094,1,gradient,FALSE,3,present
258,right,823.490560054779,1,gradient,FALSE,3,present
259,right,496.988028287888,1,gradient,FALSE,3,present
260,right,649.82682466507,1,gradient,FALSE,3,present
261,left,800.216436386108,1,gradient,FALSE,3,present
262,right,559.248268604279,1,gradient,FALSE,3,present
263,right,964.470267295837,1,gradient,FALSE,3,present
264,right,740.900754928589,1,gradient,FALSE,3,present
265,right,827.104330062866,1,gradient,FALSE,3,present
266,right,1126.32894515991,1,gradient,FALSE,3,present
267,right,843.822479248047,1,gradient,FALSE,3,present
268,right,855.812966823578,1,gradient,FALSE,3,present
269,right,592.453002929688,1,gradient,FALSE,3,present
270,right,749.39101934433,1,gradient,FALSE,3,present
271,left,948.589265346527,1,gradient,FALSE,3,absent
272,left,1353.91449928284,1,gradient,FALSE,3,absent
273,left,827.728688716888,1,gradient,FALSE,3,absent
274,right,573.839843273163,1,gradient,FALSE,3,absent
275,left,920.412600040436,1,gradient,FALSE,3,absent
276,right,1589.42461013794,1,gradient,FALSE,3,absent
277,left,600.210130214691,1,gradient,FALSE,3,absent
278,left,949.455857276917,1,gradient,FALSE,3,absent
279,left,804.865062236786,1,gradient,FALSE,3,absent
280,left,659.715354442596,1,gradient,FALSE,3,absent
281,right,1032.75108337402,1,gradient,FALSE,6,present
282,right,736.02694272995,1,gradient,FALSE,6,present
283,right,1622.3555803299,1,gradient,FALSE,6,present
284,right,436.089366674423,1,gradient,FALSE,6,present
285,right,955.236554145813,1,gradient,FALSE,6,present
286,right,609.2529296875,1,gradient,FALSE,6,present
287,right,1247.82991409302,1,gradient,FALSE,6,present
288,right,1799.59034919739,1,gradient,FALSE,6,present
289,right,908.94079208374,1,gradient,FALSE,6,present
290,right,982.039928436279,1,gradient,FALSE,6,present
291,right,1076.48777961731,1,gradient,FALSE,6,present
292,right,546.947836875916,1,gradient,FALSE,6,present
293,right,610.572814941406,1,gradient,FALSE,6,present
294,right,993.570625782013,1,gradient,FALSE,6,present
295,right,1060.04536151886,1,gradient,FALSE,6,present
296,right,486.783385276794,1,gradient,FALSE,6,present
297,right,542.451083660126,1,gradient,FALSE,6,present
298,right,471.87876701355,1,gradient,FALSE,6,present
299,left,1467.45526790619,1,gradient,FALSE,6,present
300,right,656.339704990387,1,gradient,FALSE,6,present
301,right,1061.6934299469,1,gradient,FALSE,6,present
302,right,517.853677272797,1,gradient,FALSE,6,present
303,right,428.147166967392,1,gradient,FALSE,6,present
304,right,830.993473529816,1,gradient,FALSE,6,present
305,right,1263.63360881805,1,gradient,FALSE,6,present
306,right,1314.63217735291,1,gradient,FALSE,6,present
307,right,749.780356884003,1,gradient,FALSE,6,present
308,right,596.920371055603,1,gradient,FALSE,6,present
309,right,726.683080196381,1,gradient,FALSE,6,present
310,left,1439.25356864929,1,gradient,FALSE,6,present
311,left,1217.77403354645,1,gradient,FALSE,6,absent
312,left,1591.84813499451,1,gradient,FALSE,6,absent
313,left,1231.29105567932,1,gradient,FALSE,6,absent
314,left,1920.42291164398,1,gradient,FALSE,6,absent
315,left,1701.20501518249,1,gradient,FALSE,6,absent
316,left,1532.7011346817,1,gradient,FALSE,6,absent
317,right,731.104254722595,1,gradient,FALSE,6,absent
318,left,1432.91413784027,1,gradient,FALSE,6,absent
319,left,1056.2117099762,1,gradient,FALSE,6,absent
